outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element,outlier_score,acceptable_deviation,value_to_check,min_value,max_value
171,7,"[102.0, 102.0, 104.0, 104.0, 104.0, 104.0, 108.0]",8,CURRENT_icmp_sent,70,76,1.428869016623522,3.265986323710904,108.0,100.06734700962242,106.59931965704423
172,7,"[108.0, 108.0, 111.0, 111.0, 111.0, 111.0, 115.0]",8,CURRENT_icmp_sent,79,85,1.0206207261596574,4.898979485566357,115.0,105.10102051443364,114.89897948556636
173,7,"[130.0, 130.0, 133.0, 133.0, 133.0, 133.0, 137.0]",8,CURRENT_icmp_sent,109,115,1.0206207261596574,4.898979485566357,137.0,127.10102051443364,136.89897948556634
174,7,"[137.0, 137.0, 139.0, 139.0, 139.0, 139.0, 142.0]",8,CURRENT_icmp_sent,118,124,1.1226827987756205,3.265986323710904,142.0,135.06734700962244,141.59931965704425
175,7,"[142.0, 145.0, 145.0, 145.0, 145.0, 145.0, 149.0]",8,CURRENT_icmp_sent,127,133,1.161895003862225,3.8729833462074166,149.0,140.6270166537926,148.3729833462074
176,7,"[149.0, 149.0, 151.0, 151.0, 151.0, 151.0, 154.0]",8,CURRENT_icmp_sent,135,141,1.1226827987756205,3.265986323710904,154.0,147.06734700962244,153.59931965704425
177,7,"[151.0, 154.0, 154.0, 154.0, 154.0, 154.0, 158.0]",8,CURRENT_icmp_sent,140,146,1.161895003862225,3.8729833462074166,158.0,149.6270166537926,157.3729833462074
178,7,"[19.0, 22.0, 22.0, 22.0, 22.0, 22.0, 26.0]",9,CURRENT_icmp_recv,8,14,1.161895003862225,3.8729833462074166,26.0,17.627016653792584,25.372983346207416
179,7,"[61.0, 61.0, 65.0, 65.0, 65.0, 65.0, 71.0]",9,CURRENT_icmp_recv,38,44,1.1226827987756236,6.531972647421808,71.0,57.134694019244854,70.19863931408847
180,7,"[73.0, 73.0, 76.0, 76.0, 76.0, 76.0, 80.0]",9,CURRENT_icmp_recv,51,57,1.0206207261596574,4.898979485566357,80.0,70.10102051443364,79.89897948556636
181,7,"[80.0, 83.0, 83.0, 83.0, 83.0, 83.0, 88.0]",9,CURRENT_icmp_recv,60,66,1.4200938936093863,3.8729833462074166,88.0,78.62701665379258,86.37298334620742
182,7,"[88.0, 88.0, 91.0, 91.0, 91.0, 91.0, 96.0]",9,CURRENT_icmp_recv,68,74,1.224744871391589,4.898979485566357,96.0,85.10102051443364,94.89897948556636
183,7,"[96.0, 96.0, 99.0, 99.0, 99.0, 99.0, 103.0]",9,CURRENT_icmp_recv,77,83,1.0206207261596574,4.898979485566357,103.0,93.10102051443364,102.89897948556636
184,7,"[117.0, 117.0, 120.0, 120.0, 120.0, 120.0, 126.0]",9,CURRENT_icmp_recv,103,109,1.4288690166235205,4.898979485566357,126.0,114.10102051443364,123.89897948556636
185,7,"[134.0, 134.0, 137.0, 137.0, 137.0, 137.0, 142.0]",9,CURRENT_icmp_recv,120,126,1.224744871391589,4.898979485566357,142.0,131.10102051443366,140.89897948556634
186,7,"[150.0, 153.0, 153.0, 153.0, 153.0, 153.0, 157.0]",9,CURRENT_icmp_recv,138,144,1.161895003862225,3.8729833462074166,157.0,148.6270166537926,156.3729833462074
187,7,"[157.0, 157.0, 160.0, 160.0, 160.0, 160.0, 165.0]",9,CURRENT_icmp_recv,146,152,1.224744871391589,4.898979485566357,165.0,154.10102051443366,163.89897948556634
188,7,"[26.0, 30.0, 30.0, 30.0, 30.0, 30.0, 36.0]",9,CURRENT_icmp_sent,8,14,1.2909944487358058,5.163977794943222,36.0,24.16935553839011,34.49731112827656
189,7,"[55.0, 55.0, 58.0, 58.0, 58.0, 58.0, 63.0]",9,CURRENT_icmp_sent,38,44,1.224744871391589,4.898979485566357,63.0,52.10102051443364,61.89897948556636
190,7,"[64.0, 64.0, 66.0, 66.0, 66.0, 66.0, 69.0]",9,CURRENT_icmp_sent,51,57,1.1226827987756247,3.265986323710904,69.0,62.067347009622424,68.59931965704423
191,7,"[74.0, 74.0, 76.0, 76.0, 76.0, 76.0, 79.0]",9,CURRENT_icmp_sent,68,74,1.1226827987756247,3.265986323710904,79.0,72.06734700962242,78.59931965704423
192,7,"[81.0, 81.0, 83.0, 83.0, 83.0, 83.0, 86.0]",9,CURRENT_icmp_sent,81,87,1.1226827987756247,3.265986323710904,86.0,79.06734700962242,85.59931965704423
193,7,"[93.0, 93.0, 95.0, 95.0, 95.0, 95.0, 98.0]",9,CURRENT_icmp_sent,103,109,1.1226827987756247,3.265986323710904,98.0,91.06734700962242,97.59931965704423
194,7,"[111.0, 111.0, 115.0, 115.0, 115.0, 115.0, 123.0]",9,CURRENT_icmp_sent,133,139,1.4288690166235198,6.531972647421808,123.0,107.13469401924486,120.19863931408848
