subset_size,node,data type,index_first_element,index_last_element,total_panics,subset
8,8,CURRENT_icmp_recv,69,76,5,"[84.0, 84.0, 84.0, 87.0, 87.0, 87.0, 87.0, 91.0]"
8,8,CURRENT_icmp_sent,69,76,5,"[102.0, 102.0, 102.0, 104.0, 104.0, 104.0, 104.0, 108.0]"
8,9,CURRENT_icmp_recv,102,109,4,"[117.0, 117.0, 117.0, 120.0, 120.0, 120.0, 120.0, 126.0]"
8,9,CURRENT_icmp_sent,102,109,4,"[93.0, 93.0, 93.0, 95.0, 95.0, 95.0, 95.0, 98.0]"
8,9,CURRENT_icmp_recv,37,44,4,"[61.0, 61.0, 61.0, 65.0, 65.0, 65.0, 65.0, 71.0]"
8,9,CURRENT_icmp_sent,37,44,4,"[55.0, 55.0, 55.0, 58.0, 58.0, 58.0, 58.0, 63.0]"
8,9,CURRENT_icmp_recv,50,57,4,"[73.0, 73.0, 73.0, 76.0, 76.0, 76.0, 76.0, 80.0]"
8,9,CURRENT_icmp_sent,50,57,4,"[64.0, 64.0, 64.0, 66.0, 66.0, 66.0, 66.0, 69.0]"
8,9,CURRENT_icmp_recv,67,74,4,"[88.0, 88.0, 88.0, 91.0, 91.0, 91.0, 91.0, 96.0]"
8,9,CURRENT_icmp_sent,67,74,4,"[74.0, 74.0, 74.0, 76.0, 76.0, 76.0, 76.0, 79.0]"
