subset_size,node,data type,index_first_element,index_last_element,total_panics,subset
10,5,CURRENT_icmp_sent,82,91,8,"[192.0, 192.0, 192.0, 192.0, 192.0, 199.0, 199.0, 199.0, 199.0, 207.0]"
10,5,CURRENT_icmp_recv,95,104,8,"[225.0, 225.0, 225.0, 225.0, 225.0, 232.0, 232.0, 232.0, 232.0, 242.0]"
10,5,CURRENT_icmp_sent,95,104,8,"[216.0, 216.0, 216.0, 216.0, 216.0, 222.0, 222.0, 222.0, 222.0, 231.0]"
10,6,CURRENT_icmp_recv,123,132,12,"[167.0, 167.0, 167.0, 167.0, 167.0, 172.0, 172.0, 172.0, 172.0, 178.0]"
10,6,CURRENT_icmp_sent,123,132,12,"[154.0, 154.0, 154.0, 154.0, 154.0, 158.0, 158.0, 158.0, 158.0, 163.0]"
10,6,CURRENT_icmp_recv,136,145,12,"[184.0, 184.0, 184.0, 184.0, 184.0, 188.0, 188.0, 188.0, 188.0, 193.0]"
10,6,CURRENT_icmp_sent,136,145,12,"[167.0, 167.0, 167.0, 167.0, 167.0, 169.0, 169.0, 169.0, 169.0, 173.0]"
10,6,CURRENT_icmp_recv,32,41,12,"[50.0, 50.0, 50.0, 50.0, 50.0, 54.0, 54.0, 54.0, 54.0, 59.0]"
10,6,CURRENT_icmp_sent,32,41,12,"[67.0, 67.0, 67.0, 67.0, 67.0, 70.0, 70.0, 70.0, 70.0, 76.0]"
10,6,CURRENT_icmp_recv,54,63,12,"[78.0, 78.0, 78.0, 78.0, 83.0, 83.0, 83.0, 83.0, 83.0, 90.0]"
10,6,CURRENT_icmp_sent,54,63,12,"[88.0, 88.0, 88.0, 88.0, 92.0, 92.0, 92.0, 92.0, 92.0, 97.0]"
10,6,CURRENT_icmp_recv,67,76,12,"[96.0, 96.0, 96.0, 96.0, 100.0, 100.0, 100.0, 100.0, 100.0, 107.0]"
10,6,CURRENT_icmp_sent,67,76,12,"[101.0, 101.0, 101.0, 101.0, 103.0, 103.0, 103.0, 103.0, 103.0, 108.0]"
10,6,CURRENT_icmp_recv,93,102,12,"[128.0, 128.0, 128.0, 128.0, 133.0, 133.0, 133.0, 133.0, 133.0, 140.0]"
10,6,CURRENT_icmp_sent,93,102,12,"[125.0, 125.0, 125.0, 125.0, 129.0, 129.0, 129.0, 129.0, 129.0, 134.0]"
10,7,CURRENT_icmp_recv,122,131,4,"[159.0, 159.0, 159.0, 159.0, 159.0, 163.0, 163.0, 163.0, 163.0, 168.0]"
10,7,CURRENT_icmp_sent,122,131,4,"[114.0, 114.0, 114.0, 114.0, 114.0, 116.0, 116.0, 116.0, 116.0, 119.0]"
