outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element,outlier_score,acceptable_deviation,value_to_check,min_value,max_value
832,10,"[110.0, 110.0, 110.0, 110.0, 113.0, 113.0, 113.0, 113.0, 113.0, 117.0]",8,CURRENT_icmp_recv,98,107,1.0666666666666655,5.000000000000001,117.0,106.66666666666667,116.66666666666667
833,10,"[125.0, 125.0, 125.0, 125.0, 125.0, 128.0, 128.0, 128.0, 128.0, 132.0]",8,CURRENT_icmp_recv,115,124,1.133333333333334,5.000000000000001,132.0,121.33333333333333,131.33333333333334
834,10,"[137.0, 137.0, 137.0, 137.0, 137.0, 140.0, 140.0, 140.0, 140.0, 145.0]",8,CURRENT_icmp_recv,128,137,1.3333333333333313,5.000000000000001,145.0,133.33333333333334,143.33333333333334
835,10,"[145.0, 145.0, 145.0, 145.0, 147.0, 147.0, 147.0, 147.0, 147.0, 151.0]",8,CURRENT_icmp_recv,137,146,1.4666666666666655,3.333333333333334,151.0,142.77777777777777,149.44444444444446
836,10,"[35.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 68.0]",8,CURRENT_icmp_sent,15,24,4.374484096566257,6.324555320336759,68.0,34.00877801299658,46.65788865367009
837,10,"[80.0, 80.0, 80.0, 80.0, 80.0, 82.0, 82.0, 82.0, 82.0, 86.0]",8,CURRENT_icmp_sent,37,46,1.533333333333334,3.333333333333334,86.0,77.55555555555556,84.22222222222221
838,10,"[94.0, 94.0, 94.0, 94.0, 97.0, 97.0, 97.0, 97.0, 97.0, 102.0]",8,CURRENT_icmp_sent,59,68,1.2666666666666655,5.000000000000001,102.0,90.66666666666667,100.66666666666667
839,10,"[108.0, 108.0, 108.0, 108.0, 108.0, 111.0, 111.0, 111.0, 111.0, 115.0]",8,CURRENT_icmp_sent,76,85,1.133333333333334,5.000000000000001,115.0,104.33333333333333,114.33333333333333
840,10,"[115.0, 115.0, 115.0, 115.0, 117.0, 117.0, 117.0, 117.0, 117.0, 121.0]",8,CURRENT_icmp_sent,85,94,1.4666666666666655,3.333333333333334,121.0,112.77777777777779,119.44444444444444
841,10,"[137.0, 137.0, 137.0, 137.0, 137.0, 139.0, 139.0, 139.0, 139.0, 142.0]",8,CURRENT_icmp_sent,115,124,1.233333333333334,3.333333333333334,142.0,134.55555555555554,141.22222222222223
842,10,"[142.0, 142.0, 142.0, 142.0, 145.0, 145.0, 145.0, 145.0, 145.0, 149.0]",8,CURRENT_icmp_sent,124,133,1.0666666666666684,5.000000000000001,149.0,138.66666666666666,148.66666666666666
843,10,"[151.0, 151.0, 151.0, 151.0, 154.0, 154.0, 154.0, 154.0, 154.0, 158.0]",8,CURRENT_icmp_sent,137,146,1.0666666666666684,5.000000000000001,158.0,147.66666666666666,157.66666666666666
844,10,"[158.0, 158.0, 158.0, 158.0, 160.0, 160.0, 160.0, 160.0, 160.0, 163.0]",8,CURRENT_icmp_sent,146,155,1.1666666666666654,3.333333333333334,163.0,155.77777777777777,162.44444444444446
845,10,"[22.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 48.0]",9,CURRENT_icmp_recv,13,22,5.32316739461677,4.21637021355784,48.0,21.339185341997716,29.7719257691134
846,10,"[61.0, 61.0, 61.0, 61.0, 61.0, 65.0, 65.0, 65.0, 65.0, 71.0]",9,CURRENT_icmp_recv,35,44,1.233333333333333,6.666666666666668,71.0,56.111111111111114,69.44444444444444
847,10,"[71.0, 71.0, 71.0, 71.0, 73.0, 73.0, 73.0, 73.0, 73.0, 76.0]",9,CURRENT_icmp_recv,44,53,1.1666666666666654,3.333333333333334,76.0,68.77777777777779,75.44444444444444
848,10,"[73.0, 73.0, 73.0, 73.0, 73.0, 76.0, 76.0, 76.0, 76.0, 80.0]",9,CURRENT_icmp_recv,48,57,1.133333333333334,5.000000000000001,80.0,69.33333333333333,79.33333333333333
849,10,"[80.0, 80.0, 80.0, 80.0, 83.0, 83.0, 83.0, 83.0, 83.0, 88.0]",9,CURRENT_icmp_recv,57,66,1.2666666666666655,5.000000000000001,88.0,76.66666666666667,86.66666666666667
